book_id,description
1010,
1011,"I didn't actually read this book, I listened to it as an Audio-Book, and I think I liked it better for the listening. Perhaps I would have got a little lost at times, trying to read through the twists and turns that this amazing story took me. To follow the path of the Haggadah, an ancient Jewish religious book, back in time to it's creation and it's journey through time to the present day, was a sort of a book/paper/people forensic story, and it had me totally hooked. The book is based on the actual finding of a similar book in Sarajevo in the 1990's."
1012,
1013,
1014,"Preceded by: [Life, the Universe and Everything][1]

So Long, and Thanks for All the Fish is the fourth book of the Hitchhiker's Guide to the Galaxy ""trilogy"" written by Douglas Adams. Its title is the message left by the dolphins when they departed Planet Earth just before it was demolished to make way for a hyperspace bypass, as described in The Hitchhiker's Guide to the Galaxy.

Followed by: [Mostly Harmless][3]

----------
Also contained in:

 - [The Hitch Hiker's Guide to the Galaxy: A Trilogy in Four Parts][4]
 - [The More Than Complete Hitchhiker's Guide][5]
 - [Ultimate Hitchhiker's Guide to the Galaxy](https://openlibrary.org/works/OL2163706W)

  [1]: https://openlibrary.org/works/OL2163716W
  [2]: http://www.douglasadams.com/creations/0671745530.html
  [3]: https://openlibrary.org/works/OL2163718W
  [4]: https://openlibrary.org/works/OL2163692W
  [5]: https://openlibrary.org/works/OL2163713W"
1015,"A story that focuses on the loneliness and suffering of the protagonist, Harry Haller, who feels that he has no place in a world filled with meaningless frivolity. Having decided to take his own life a chance encounter causes him to change his views and he begins to learn ways to enjoy life. One of the most misunderstood of his novels the book is, according to Hesse, about the possibilities of transcendence and healing."
1016,"If it's gripping, it's Gerritsen. The terrifying first Jane Rizzoli bestseller.In Boston, there's a killer on the loose. A killer who targets lone women, who breaks into their apartments and performs terrifying ritualistic acts of torture on them before finishing them off. His surgical skills lead police to suspect he is a physician – a physician who, instead of saving lives, takes them.But as homicide detective Thomas Moore and his partner Jane Rizzoli begin their investigation, they make a startling discovery. Closely linked to these killings is Catherine Cordell, a beautiful medic with a mysterious past. Two years ago she was subjected to a horrifying rape and attempted murder but she shot her attacker dead. Now she is being targeted by the new killer who seems to know all about her past, her work, and where she lives.The man she believes she killed seems to be stalking her once again, and this time he knows exactly where to find her..."
1017,"In 1916, French artist Edouard Lefevre leaves his wife Sophie to fight at the Front. When her town falls into German hands, his portrait of Sophie stirs the heart of the local Kommandant and causes her to risk everything - her family, reputation and life - in the hope of seeing her true love one last time.

Nearly a century later and Sophie's portrait is given to Liv by her young husband shortly before his sudden death. Its beauty speaks of their short life together, but when the painting's dark and passion-torn history is revealed, Liv discovers that the first spark of love she has felt since she lost him is threatened...

In The Girl You Left Behind two young women, separated by a century, are united in their determination to fight for the thing they love most - whatever the cost."
1018,Livre d'aventure et de fantasy.
1019,"Childhood's End is a 1953 science fiction novel by British author Arthur C. Clarke. The story follows the peaceful alien invasion of Earth by the mysterious Overlords, whose arrival ends all war, helps form a world government, and turns the planet into a near-utopia. Many questions are asked about the origins and mission of the aliens, but they avoid answering, preferring to remain in their ships, governing through indirect rule. Decades later, the Overlords eventually show themselves, and their impact on human culture leads to a Golden Age. However, the last generation of children on Earth begin to display powerful psychic abilities, heralding their evolution into a group mind, a transcendent form of life."
1020,"The adventures of Desperaux Tilling, a small mouse of unusual talents, the princess that he loves, the servant girl who longs to be a princess, and a devious rat determined to bring them all to ruin."
1021,
1022,"Celaena has survived deadly contests and shattering heartbreak-but at an unspeakable cost. Now, she must travel to a new land to confront her darkest truth…a truth about her heritage that could change her life-and her future-forever. Meanwhile, brutal and monstrous forces are gathering on the horizon, intent on enslaving her world. Will Celaena find the strength to not only fight her inner demons, but to take on the evil that is about to be unleashed?"
1023,"The Wheel of Time turns and Ages come and go, leaving memories that become legend. Legend fades to myth, and even myth is long forgotten when the Age that gave it birth returns again. In the Third Age, an Age of Prophecy, the World and Time themselves hang in the balance. What was, what will be, and what is, may yet fall under the Shadow.

On the slopes of Shayol Ghul, the Myrddraal swords are forged, and the sky is not the sky of this world;

In Salidar the White Tower in exile prepares an embassy to Caemlyn, where Rand Al'Thor, the Dragon Reborn, holds the throne--and where an unexpected visitor may change the world....

In Emond's Field, Perrin Goldeneyes, Lord of the Two Rivers, feels the pull of ta'veren to ta'veren and prepares to march...

Morgase of Caemlyn finds a most unexpected, and quite unwelcome, ally....And south lies Illian, where Sammael holds sway...

TV series update: ""Sony will produce along with Red Eagle Entertainment and Radar Pictures. Rafe Judkins is attached to write and executive produce. Judkins previously worked on shows such as ABC’s “Agents of SHIELD,” the Netflix series “Hemlock Grove,” and the NBC series “Chuck.” Red Eagle partners Rick Selvage and Larry Mondragon will executive produce along with Radar’s Ted Field and Mike Weber. Darren Lemke will also executive produce, with Jordan’s widow Harriet McDougal serving as consulting producer."" —*Variety*

The Wheel of Time**®**
New Spring: The Novel
#1 The Eye of the World
#2 The Great Hunt
#3 The Dragon Reborn
#4 The Shadow Rising
#5 The Fires of Heaven
#6 Lord of Chaos
#7 A Crown of Swords
#8 The Path of Daggers
#9 Winter's Heart
#10 Crossroads of Twilight
#11 Knife of Dreams

By Robert Jordan and Brandon Sanderson
#12 The Gathering Storm
#13 Towers of Midnight
#14 A Memory of Light"
1024,"In his wickedly brilliant first novel, Debut Dagger Award winner Alan Bradley introduces one of the most singular and engaging heroines in recent fiction: eleven-year-old Flavia de Luce, an aspiring chemist with a passion for poison. It is the summer of 1950--and a series of inexplicable events has struck Buckshaw, the decaying English mansion that Flavia's family calls home. A dead bird is found on the doorstep, a postage stamp bizarrely pinned to its beak. Hours later, Flavia finds a man lying in the cucumber patch and watches him as he takes his dying breath. For Flavia, who is both appalled and delighted, life begins in earnest when murder comes to Buckshaw. ""I wish I could say I was afraid, but I wasn't. Quite the contrary. This was by far the most interesting thing that had ever happened to me in my entire life.""To Flavia the investigation is the stuff of science: full of possibilities, contradictions, and connections. Soon her father, a man raising his three daughters alone, is seized, accused of murder. And in a police cell, during a violent thunderstorm, Colonel de Luce tells his daughter an astounding story--of a schoolboy friendship turned ugly, of a priceless object that vanished in a bizarre and brazen act of thievery, of a Latin teacher who flung himself to his death from the school's tower thirty years before. Now Flavia is armed with more than enough knowledge to tie two distant deaths together, to examine new suspects, and begin a search that will lead her all the way to the King of England himself. Of this much the girl is sure: her father is innocent of murder--but protecting her and her sisters from something even worse....An enthralling mystery, a piercing depiction of class and society, The Sweetness at the Bottom of the Pie is a masterfully told tale of deceptions--and a rich literary delight.From the Hardcover edition."
1026,"Eagerly anticipated by her legions of fans, this sixth novel in Diana Gabaldon's bestselling Outlander saga is a masterpiece of historical fiction from one of the most popular authors of our time.Since the initial publication of Outlander fifteen years ago, Diana Gabaldon's New York Times bestselling saga has won the hearts of readers the world over -- and sold more than twelve million books. Now, A Breath of Snow and Ashes continues the extraordinary story of 18th-century Scotsman Jamie Fraser and his 20th-century wife, Claire.The year is 1772, and on the eve of the American Revolution, the long fuse of rebellion has already been lit. Men lie dead in the streets of Boston, and in the backwoods of North Carolina, isolated cabins burn in the forest.With chaos brewing, the governor calls upon Jamie Fraser to unite the backcountry and safeguard the colony for King and Crown. But from his wife Jamie knows that three years hence the shot heard round the world will be fired, and the result will be independence -- with those loyal to the King either dead or in exile. And there is also the matter of a tiny clipping from The Wilmington Gazette, dated 1776, which reports Jamie's death, along with his kin. For once, he hopes, his time-traveling family may be wrong about the future.From the Hardcover edition."
1027,"Nico had warned them. Going through the House of Hades would stir the demigods' worst memories. Their ghosts would become restless. Nico may actually become a ghost if he has to shadow-travel with Reyna and Coach Hedge one more time. But that might be better than the alternative: allowing someone else to die, as Hades foretold.

Jason's ghost is his mother, who abandoned him when he was little. He may not know how he is going to prove himself as a leader, but he does know that he will not break promises like she did. He will complete his line of the prophecy: To storm or fire the world must fall.

Reyna fears the ghosts of her ancestors, who radiate anger. But she can't allow them to distract her from getting the Athena Parthenos to Camp Half-Blood before war breaks out between the Romans and Greeks. Will she have enough strength to succeed, especially with a deadly hunter on her trail?

Leo fears that his plan won't work, that his friends might interfere. But there is no other way. All of them know that one of the Seven has to die in order to defeat Gaea, the Earth Mother.

Piper must learn to give herself over to fear. Only then will she be able to do her part at the end: utter a single word.

Heroes, gods, and monsters all have a role to play in the climactic fulfillment of the prophecy in The Blood of Olympus, the electrifying finale of the best-selling Heroes of Olympus series."
1028,"Six responsible adults. Three cute kids. One small dog. It’s just a normal weekend. What could possibly go wrong?

Sam and Clementine have a wonderful, albeit, busy life: they have two little girls, Sam has just started a new dream job, and Clementine, a cellist, is busy preparing for the audition of a lifetime. If there’s anything they can count on, it’s each other.

Clementine and Erika are each other’s oldest friends. A single look between them can convey an entire conversation. But theirs is a complicated relationship, so when Erika mentions a last minute invitation to a barbecue with her neighbors, Tiffany and Vid, Clementine and Sam don’t hesitate. Having Tiffany and Vid’s larger than life personalities there will be a welcome respite.

Two months later, it won’t stop raining, and Clementine and Sam can’t stop asking themselves the question: What if we hadn’t gone?

In Truly Madly Guilty, Liane Moriarty takes on the foundations of our lives: marriage, sex, parenthood, and friendship. She shows how guilt can expose the fault lines in the most seemingly strong relationships, how what we don’t say can be more powerful than what we do, and how sometimes it is the most innocent of moments that can do the greatest harm.v"
1030,"At Westish College, a small school on the shore of Lake Michigan, baseball star Henry Skrimshander seems destined for big league stardom. But when a routine throw goes disastrously off course, the fates of five people are upended.

Henry’s fight against self-doubt threatens to ruin his future. College president Guert Affenlight, a longtime bachelor, has fallen unexpectedly and helplessly in love. Owen Dunne, Henry’s gay roommate and teammate, becomes caught up in a dangerous affair. Mike Schwartz, the Harpooners’ team captain and Henry’s best friend, realizes he has guided Henry’s career at the expense of his own. And Pella Affenlight, Guert’s daughter, returns to Westish after escaping an ill-fated marriage, determined to start a new life.

As the season counts down to its climactic final game, these five are forced to confront their deepest hopes, anxieties, and secrets. In the process they forge new bonds, and help one another find their true paths. Written with boundless intelligence and filled with the tenderness of youth, The Art of Fielding is an expansive, warmhearted novel about ambition and its limits, about family and friendship and love, and about commitment–to oneself and to others."
1031,"A Moveable Feast is a 1964 memoir belles-lettres by American author Ernest Hemingway about his years as a struggling expat journalist and writer in Paris during the 1920s. It was published posthumously.[1] The book details Hemingway's first marriage to Hadley Richardson and his associations with other cultural figures of the Lost Generation in Interwar France.

The memoir consists of various personal accounts by Hemingway and involves many notable figures of the time, such as Sylvia Beach, Hilaire Belloc, Bror von Blixen-Finecke, Aleister Crowley, John Dos Passos, F. Scott and Zelda Fitzgerald, Ford Madox Ford, James Joyce, Wyndham Lewis, Pascin, Ezra Pound, Evan Shipman, Gertrude Stein, Alice B. Toklas, and Hermann von Wedderkop. The work also references the addresses of specific locations such as bars, cafes, and hotels, many of which can still be found in Paris today.

Ernest Hemingway's suicide in July 1961 delayed the publication of the book due to copyright issues and several edits which were made to the final draft. The memoir was published posthumously in 1964, three years after Hemingway's death, by his fourth wife and widow, Mary Hemingway, based upon his original manuscripts and notes. An edition altered and revised by his grandson, Seán Hemingway, was published in 2009."
1032,"For centuries, mystical creatures of all description were gathered to a hidden refuge called Fablehaven to prevent their extinction. The sanctuary survives today as one of the last strongholds of true magic in a cynical world. Enchanting? Absolutely! Exciting? You bet. Safe? Well, actually, quite the opposite . . .

Kendra and her brother Seth have no idea that their grandfather is the current caretaker of Fablehaven. Inside the gated woods, ancient laws give relative order among greedy trolls, mischievous satyrs, plotting witches, spiteful imps, and jealous fairies. However, when the rules get broken, an arcane evil is unleashed, forcing Kendra and Seth to face the greatest challenge of their lives. To save her family, Fablehaven, and perhaps the world, Kendra must find the courage to do what she fears most.


----------
**Books in this series**

 1. Fablehaven
 2. [Rise of the Evening Star][2]
 3. [Grip of the Shadow Plague][3]
 4. [Secrets of the Dragon Sanctuary][4]
 5. [Keys to the Demon Prison][5]

  [2]: https://openlibrary.org/works/OL8755876W
  [3]: https://openlibrary.org/works/OL15597926W
  [4]: https://openlibrary.org/works/OL15069174W
  [5]: https://openlibrary.org/works/OL15597614W"
1033,"This fun, exciting book in the life of the Baudelaire orphans will take on yet another thrilling ride. Count Olaf has returned, and the Orphans are in trouble!!!"
1034,"Now in hardcover from the New York Times bestselling author of The Dresden Files.Harry Dresden's faced some pretty terrifying foes during his career. Giant scorpions. Oversexed vampires. Psychotic werewolves. All par for the course for Chicago's only professional wizard.But in all of Harry's years of supernatural sleuthing, he's never faced anything like this: the spirit world's gone postal. All over Chicago, ghosts are causing trouble—and not just of the door-slamming, 'boo'- shouting variety. These ghosts are tormented, violent, and deadly.Someone—or something—is stirring them up to wreak unearthly havoc. But why? And why do so many of the victims have ties to Harry? If Harry doesn't figure it out soon, he could wind up a ghost himself."
1036,
1037,"He gave up the money.  He gave up the power.  Now all he has left is the law.Michael Brock is billing the hours, making the money, rushing relentlessly to the top of Drake & Sweeney, a giant D.C. law firm.  One step away from partnership, Michael has it all.  Then, in an instant, it all comes undone.A homeless man takes nine lawyers hostage in the firm's plush offices.  When it is all over, the man's blood is splattered on Michael's face--and suddenly Michael is willing to do the unthinkable.  Rediscovering a conscience he lost long ago, Michael is leaving the big time for the streets where his attacker once lived--and where society's powerless need an advocate for justice.But there's one break Michael can't make: from a secret that has floated up from the depths of Drake & Sweeney, from a confidential file that is now in Michael's hands, and from a conspiracy that has already taken lives.  Now Michael's former partners are about to become his bitter enemies.  Because to them, Michael Brock is the most dangerous man on the streets....From the Paperback edition."
1040,"From the unique perspective of David Sedaris comes a new book of essays taking his listeners on a bizarre and stimulating world tour. From the perils of French dentistry to the eating habits of the Australian kookaburra, from the squat-style toilets of Beijing to the particular wilderness of a North Carolina Costco, we learn about the absurdity and delight of a curious traveler's experiences. Whether railing against the habits of litterers in the English countryside or marveling over a disembodied human arm in a taxidermist's shop, Sedaris takes us on side-splitting adventures that are not to be forgotten."
1041,
1042,"Zitat Klappentext: Eine mordsmäßige Detektiv-Gespenster-Horror-Kriminal-Zeitreisen-Romanzen-Musikkomödien-Geschichte von Douglas Adams, dem Autor des Bestsellers »Per Anhalter durch die Galaxis«."
1044,"Hollywood starlet Mindy Kaling shares her ongoing, laugh-out-loud journey to find contentment and excitement in her adult life."
1048,
1049,"Elantris: gigantic, beautiful, radiant-----filled with powerful individuals who use their magical abilities to benefit all the people of Arelon. Yet each of these godlike beings was once an ordinary person until touched by the mysterious transforming power of Shaod. Then, ten years ago, without warning, the magic failed. Elantrians became wizened, feeble, leper-like creatures, and Elantris itself dark, filthy, and crumbling. The Shaod became a curse.

Arelon's new capital city, Kae, crouches in the shadow of Elantris, which its people do their best to ignore. Princess Sarene of Teod has come to Kae for a marriage of state with Crown Prince Raoden, hoping also to find love. Sarene learns instead that Raoden has died, and she is considered his widow.

Both Teod and Arelon are under threat from the imperial ambitions of Fjordell, a city filled with ruthless religious fanatics, and whose high priest, Hrathen, intends to convert Arelon and claim it for his emperor and his god. Now Sarene alone stands in his way.

But neither Sarene nor Hrathen suspects the truth about Prince Raoden's disappearance. Taken by the same strange malady that felled the gods of Elantris, Raoden was secretly imprisoned within the dark city. His struggle to create a society for the wretches trapped there begins a series of events that will bring hope to Arelon, and reveal the secret of Elantris itself.

-- From the hardback inside cover"
1050,"An unflinching novel about the impossible choices of growing up, by an award-winning writer.Imagine you're the only boy in a town of men. And you can hear everything they think. And they can hear everything you think. Imagine you don't fit in with their plans... Todd Hewitt is just one month away from the birthday that will make him a man. But his town has been keeping secrets from him. Secrets that are going to force him to run..."
1052,"In Jodi Picoult's #1 international bestseller she explores the moral dilemmas faced by the parents of a severely disabled child. When faced with the reality of a child who will be disabled, at which point should an obstetrician counsel termination? Should a parent have the right to make that choice? And as a parent, how far would you go to take care of someone you love?Willow O'Keefe is born with osteogenesis imperfecta, or brittle bone disease, which means she will suffer hundreds of broken bones as she grows, and a lifetime of pain. As the family struggles to cover medical expenses, her mother Charlotte decides to file a wrongful birth lawsuit against her obstetrician for the compensation which might ensure a lifetime of care for Willow.But it means that Charlotte has to say in a court of law that she would have terminated the pregnancy if she'd known about the disability in advance. And the obstetrician she's suing isn't just her physician - she's her best friend.Handle with Care is an absorbing narrative which also questions the basis of medical ethics and of personal morality. What rights do parents or doctors have to terminate a life? How disabled is too disabled? As a parent, how far would you go to save someone you love?"
1053,"[The Dark Tower][1] VI

Susannah, now pregnant, has yet another taking control of her.  The demon-mother, Mia, uses Susannah and Black Thirteen to transport to New York City of 1999.  Jake, Oy, and Pere Callahan must rescue Susannah while Eddie and Roland transport to the Maine of 1977.  A vacant lot in New York is the prize that must be saved and ties these together.
([source][2])


  [1]: https://openlibrary.org/works/OL81600W/The_Dark_Tower_1-7
  [2]: https://www.stephenking.com/library/novel/dark_tower_song_of_susannah_the.html"
1054,"Cassia’s journey began with an error, a momentary glitch in the otherwise perfect façade of the Society. After crossing canyons to break free, she waits, silk and paper smuggled against her skin, ready for the final chapter. The wait is over. One young woman has raged against those who threaten to keep away what matters most -- family, love, choice. Her quiet revolution is about to explode into full-scale rebellion. With exquisite prose, the emotionally gripping conclusion to the international–bestselling Matched trilogy returns Cassia, Ky, and Xander to the Society to save the one thing they have been denied for so long, the power to choose. -- Publisher.

After leaving Society to desperately seek The Rising, and each other, Cassia and Ky have found what they were looking for, but at the cost of losing each other yet again. Cassia is assigned undercover in Central city, Ky outside the borders, an airship pilot with Indie. Xander is a medic, with a secret. All too soon, everything shifts again."
1055,"Midnight's Children is a 1981 novel by author Salman Rushdie. It portrays India's transition from British colonial rule to independence and the partition of India. It is considered an example of postcolonial, postmodern, and magical realist literature. The story is told by its chief protagonist, Saleem Sinai, and is set in the context of actual historical events. The style of preserving history with fictional accounts is self-reflexive.

Midnight's Children won both the Booker Prize and the James Tait Black Memorial Prize in 1981. It was awarded the ""Booker of Bookers"" Prize and the best all-time prize winners in 1993 and 2008 to celebrate the Booker Prize 25th and 40th anniversary.In 2003, the novel was listed on the BBC's The Big Read poll of the UK's ""best-loved novels"". It was also added to the list of Great Books of the 20th Century, published by Penguin Books.


----------
Contains:
[Midnight's Children (2/2)](https://openlibrary.org/works/OL24710315W)"
1058,"***Murder at the Vicarage (1930)is the first Miss Marple mystery book by Agatha Christie.***  Miss Jane Marple is a village busybody who applies human nature to crimes. Colonel Protheroe, magistrate universally despised, was shot in his study, unheard. His wife Anne admits newly arrived artist Lawrence Redding is an old flame, and both confess to murder. **The local inspector and Miss Marple sort through to the truth.**

***The murder of Colonel Protheroe shocks the town of St. Mary Mead, where the main entertainment is tea and gossip.*** Among the neighbors of St. Mary Mead, the most meddlesome, observant and shrewd person is Miss Marple. His intervention will be decisive in the resolution of a crime for which there are no suspects.

***Death in the vicarage, published in 1930, was the first appearance of one of the most important characters in the work of Agatha Christie, the spinster and insightful Miss Marple, whose cases have been adapted several times both to the cinema and in Form of television series.***"
1059,"Twelve-year old Luke Garner struggles with his life as a shadow child, until he meets his daring new neighbor, Jen. Among the Hidden is a 1998 young adult novel by Margaret Peterson Haddix concerning a fictional future in which overly drastic measures have been taken to quell overpopulation. It is the first of seven novels in the ""Shadow Children"" series."
1060,
1061,"Orphaned Kit Tyler knows, as she gazes for the first time at the cold, bleak shores of Connecticut Colony, that her new home will never be like the shimmering Caribbean island she left behind. In her relatives' stern Puritan community, she feels like a tropical bird that has flown to the wrong part of the world, a bird that is now caged and lonely. The only place where Kit feels completely free is in the meadows, where she enjoys the company of the old Quaker woman known as the Witch of Blackbird Pond, and on occasion, her young sailor friend Nat. But when Kit's friendship with the ""witch"" is discovered, Kit is faced with suspicion, fear, and anger. She herself is accused of witchcraft!"
1062,"Twenty years ago, America Singer entered the Selection and won Prince Maxon's heart. Now the time has come for Princess Eadlyn to hold a Selection of her own. Eadlyn doesn't expect her Selection to be anything like her parents' fairy-tale love story ... but as the competition begins, she may discover that finding her own happily ever after isn't as impossible as she's always thought."
1063,"Meet Becky Bloomwood, America’s favorite shopaholic—a young woman with a big heart, big dreams…and just one little weakness.

Becky has a fabulous flat in London's trendiest neighborhood, a troupe of glamorous socialite friends, and a closet brimming with the season's must-haves. The only trouble is that she can't actually afford it—not any of it. 

Her job writing at Successful Savings not only bores her to tears, it doesn't pay much at all. And lately Becky's been chased by dismal letters from the bank—letters with large red sums she can't bear to read—and they're getting ever harder to ignore. 

She tries cutting back. But none of her efforts succeeds. Becky's only consolation is to buy herself something ... just a little something....

Finally a story arises that Becky actually cares about, and her front-page article catalyzes a chain of events that will transform her life—and the lives of those around her—forever."
1064,"The Woman in White famously opens with Walter Hartright's eerie encounter on a moonlit London road. Engaged as a drawing master to the beautiful Laura Fairlie, Walter is drawn into the sinister intrigues of Sir Percival Glyde and his 'charming' friend Count Fosco, who has a taste for white mice, vanilla bonbons and poison. Pursuing questions of identity and insanity along the paths and corridors of English country houses and the madhouse, The Woman in White is the first and most influential of the Victorian genre that combined Gothic horror with psychological realism."
1065,"When a woman's severed leg is delivered to Robin Ellacott, her boss, private detective Cormoran Strike, looks into his past to determine who is responsible."
1066,"This book is fresh fun and exciting. 15 year Belly Conklin is enjoying another summer with the people that she loves in Cousins, a place she's been going to since she was a baby! The fishers, Aka Jerimiah and Conrad, are finally grown up, and Belly feels like she can fit in aswell. Belly would be turning 16 this year, as now she feels as if she can fit in with the boys. She thinks the summer will be fun, Hanging out on the beach and Playing with the people she loves, Belly is looking foward to her summer vacation. But that's when she finds out that Susannah Fisher is diagnosed with Cancer, which changes everything. Things are different in the Summer house. Her first love, Conrad is different, he's distant. While the stay in the house was supposed to be enjoying, they need to focus on things that matter the most. Sussanah. Belly decides that it's time she acts like the adult that she is. Choosing between her 2 lovers Jerimiah and Conrad Fisher. Will either of them like her? Because this...Is the Summer I turned Pretty."
1067,"Stephanie Plum is back, and this time she's on the trail of Maxine Nowicki, an ex-waitress accused of stealing her ex-boyfriend's car. Helping Stephanie is former-prostitute-turned-backup Lula, puzzle solving transvestite singer Sally Sweet, mentor Ranger, and vice cop Joe Morelli. This one won't be easy though, as Stephanie's competing with her arch nemesis Joyce Barnhardt.
 
Oh, and she can't forget the little matter of someone trying to kill her. Again.
 
Stephanie & Morelli resume their intimate relationship."
1068,
1069,
1070,"MacKayla Lane's life is good. She has great friends, a decent job, and a car that breaks down only every other week or so. In other words, she's your perfectly ordinary twenty-first-century woman. Or so she thinks...until something extraordinary happens.When her sister is murdered, leaving a single clue to her death--a cryptic message on Mac's cell phone--Mac journeys to Ireland in search of answers. The quest to find her sister's killer draws her into a shadowy realm where nothing is as it seems, where good and evil wear the same treacherously seductive mask. She is soon faced with an even greater challenge: staying alive long enough to learn how to handle a power she had no idea she possessed--a gift that allows her to see beyond the world of man, into the dangerous realm of the Fae....As Mac delves deeper into the mystery of her sister's death, her every move is shadowed by the dark, mysterious Jericho, a man with no past and only mockery for a future. As she begins to close in on the truth, the ruthless Vlane--an alpha Fae who makes sex an addiction for human women--closes in on her. And as the boundary between worlds begins to crumble, Mac's true mission becomes clear: find the elusive Sinsar Dubh before someone else claims the all-powerful Dark Book--because whoever gets to it first holds nothing less than complete control of the very fabric of both worlds in their hands....From the Hardcover edition."
1071,"[*Stone of Tears*](/works/OL2010483W) stato pubblicato in lingua italiana per la prima volta da Fanucci suddiviso in due volumi, [*Il guardiano delle tenebre*](/works/OL2010460W) (1999) e [***La pietra delle lacrime***](/works/OL2010453W) (2000). In seguito è stato ripubblicato in volume unico col titolo *La spada della verità - Volume 2* (2001) e *La pietra delle lacrime* (2015)."
1072,
1074,"""His best book,"" Esquire wrote of Kurt Vonnegut's 1959 novel The Sirens of Titan, adding, ""he dares not only to ask the ultimate question about the meaning of life, but to answer it.""  This novel fits into that aspect of the Vonnegut canon that might be classified as science fiction, a quality that once led Time to describe Vonnegut as ""George Orwell, Dr. Caligari and Flash Gordon compounded into one writer ... a zany but moral mad scientist.""

The Sirens of Titan was perhaps the novel that began the Vonnegut phenomenon with readers. The story is a fabulous trip, spinning madly through space and time in pursuit of nothing less than a fundamental understanding of the meaning of life. It takes place at a time in the future, when ""only the human soul remained terra incognita ... the Nightmare Ages, falling roughly, give or take a few years, between the Second World War and the Third Great Depression.""

The villainous and super rich Malachi Constant is offered a chance to journey into the far reaches of outer space, to eventually live on the planet Titan surrounded by three beautiful sirens. There is the proverbial ""small print"" with this incredible offer, which Constant turns down, setting in motion a fantastic chain of events that only Vonnegut could imagine. The result is an uproarious, freewheeling inquiry into the very reason we exist and about how we participate and matter in the scheme of the universe.

The Sirens of Titan is essential, fundamental Vonnegut, as entertaining as it is questing in search of answers to the mysteries of life.  As a work of fiction, it is a sure leap, in terms of craft, over his first novel, Player Piano. His writing here is pared down, more concentrated and graceful, richly in the service of his remarkable ideas. Vonnegut summons greatness for the first time in The Sirens of Titan, where the search for the meaning of existence looks and sounds like a kaleidoscopic dream but leaves the reader with a clear and challenging answer."
1077,
1081,"Continuing the story of five interrelated families as they become entangled in events from the beginning of the twentieth century, from the rise of the Third Reich, through the Spanish Civil War and the great dramas of World War II, up to the explosions of the American and Soviet atomic bombs.

""En esta magnífica novela épica, Ken Follett conduce al lector a través de una Europa en ruinas, quebrada de nuevo por las guerras y los conflictos ideológicos. Los hijos de las cinco familias protagonistas de 'La Caída de los Gigantes' forjarán su destino en los años turbulentos de la Segunda Guerra Mundial, la guerra civil española, el bombardeo de Pearl Harbor y la era de la bomba atómica."" --p.[4] of cover."
1083,"In this memoir, Alice Sebold reveals how her life was transformed when at age 18 she was raped and beaten in a park near her college campus"
1084,"This novel is an extraordinarily poignant evocation of a lost happiness that lives on in the memory. For years now the Ramsays have spent every summer in their holiday home in Scotland, and they expect these summers will go on forever.In this, her most autobiographical novel, Virginia Woolf captures the intensity of childhood longing and delight, and the shifting complexity of adult relationships. From an acute awareness of transcience, she creates an enduring work of art."
1086,"From back cover Orbit paperback 2005:

""I don't date vampires.  I kill them.""

My name is Anita Blake.  Vampires call me the Executioner.  What I call them isn't repeatable.

Ever since the Supreme Court granted the undead equal rights, most people think vampires are just ordinary folks with fangs.  I know better.  I've seen their victims.  I carry the scars...

But now a serial killer is murdering vampires -- and the most powerful bloodsucker in town wants me to find the killer..."
1087,"After capturing a bank robber, nineteen-year-old cab driver Ed Kennedy begins receiving mysterious messages that direct him to addresses where people need help, and he begins getting over his lifelong feeling of worthlessness."
1088,"Independent and spirited Bathsheba Everdene has come to Weatherbury to take up her position as a farmer on the largest estate in the area. Her bold presence draws three very different suitors: the gentleman-farmer Boldwood, soldier-seducer Sergeant Troy and the devoted shepherd Gabriel Oak. Each, in contrasting ways, unsettles her decisions and complicates her life, and tragedy ensues, threatening the stability of the whole community. The first of his works set in the fictional county of Wessex, Hardy's novel of swift passion and slow courtship is imbued with his evocative descriptions of rural life and landscapes, and with unflinching honesty about sexual relationships."
1089,"Terry Pratchett's profoundly irreverent novels, consistent number one bestsellers in England, have garnered him a revered position in the halls of parody along with Mark Twain, Kurt Vonnegut, Douglas Adams, and Carl Hiaasen.In Equal Rites, a dying wizard tries to pass on his powers to an eighth son of an eighth son, who is just at that moment being born. The fact that the son is actually a daughter is discovered just a little too late..."
1090,"Nothing, in all it's entirety."
